2,Category,Feature_Name,Summary,To be picked up
22,Product,UAE Pass for Business (Study),Research and feasibility study for UAE Pass business use cases.,Yes
23,Product,Innovation Track,Exploratory initiatives and innovation projects for future capabilities.,
24,Product,Extend UAE PASS App Services,Extend the functionalities of UAE PASS to allow users to utilize services directly from the app.,
25,Technical,Current Issues Solutions,Resolution of known technical issues and bugs.,Yes
26,Technical,Unify Verification Methods (eSeal / UAE Verify),Consolidate and unify eSeal and UAE Verify verification methods.,
27,Technical,License QR Code Display Fix,Fix License Name and Number not showing when customer scans QR code from UAE Verify portal.,
28,Technical,eSeal & DV QR Code Study,Study QR code implementations for eSeal and DV similar to European implementations.,
29,Technical,Infinite Loaders Detection and Resolution,Detect and resolve infinite loading states across the application.,Yes
30,Technical,Firebase Configuration & Optimization,"Firebase Remote Config and push notification optimization, monitoring, and maintenance.",
31,Technical,eSeal Transition Support,Support ICP transition from DDA eSeal service to self-signing (own HSM). Ensure validation compatibility.,
32,Technical,Performance Enhancement ,Application performance improvements including load times and responsiveness.,
33,Technical,Automated Testing,"Implement automated testing framework for regression and quality assurance, including UI test automation and tool fitment analysis.",Yes
34,Marketing,Service Provider Communication,SP communication strategy including onboarding materials and integration documentation.,
35,Design,Design Library Update,Maintain and update component library for design consistency.,Yes
36,Design,Design Audit,Comprehensive audit of current design patterns and identify improvement areas.,Yes
37,Design,Accessibility Enhancement,Improve accessibility compliance (WCAG) across the application.,Yes
38,UX,Enhancement/Revamp Document Request,Redesign the document request flow for improved user experience.,
39,UX,Revamp Document Sharing,Redesign document sharing flow to reduce consent screen drop-off (currently 16.9% abandonment).,
40,UX,Document Availability,Improve document availability visibility,
41,Product,Download All,Enable downloading all issued documents in DV,
42,Product,One-Time Consent,Streamlined one-time consent mechanism for document auto-add (linked to Auto-Add Documents feature).,
43,Product,Physical Document Sharing,Enable sharing of physical document representations or verified copies.,Yes
44,Product,Service Enabler / Data,Description required ,
45,Technical Team Suggestions,DR Automation (Disaster Recovery),Automate disaster recovery processes including failover testing and recovery procedures. Reduces RTO/RPO and operational risk.,
46,Technical Team Suggestions,Blockchain Upgrade,Upgrade blockchain infrastructure for improved performance and capabilities.,
47,Technical Team Suggestions,CI/CD Pipeline Automation,Comprehensive CI/CD automation including code quality gates coverage thresholds and automated UI deployment pipelines.,
48,Technical Team Suggestions,AI Strategy & Initiative Analysis,Q1 analysis phase for AI initiatives targeting user experience optimization and operational efficiency followed by Q2-Q4 implementation.,
49,Technical Team Suggestions,ELK Stack AI Upgrade,Upgrade Elasticsearch Logstash Kibana stack to leverage AI capabilities for enhanced log analysis and anomaly detection.,
50,Technical Team Suggestions,Automated RCA & Incident Reporting,Automate Root Cause Analysis and incident report generation to reduce mean time to resolution and improve post-incident documentation.,
51,Technical Team Suggestions,SP/Issuer Onboarding Optimization,Technical and operational optimization of Service Provider and Issuer onboarding mechanism to reduce integration time and friction.,
52,Technical Team Suggestions,SP Integration Test Suite,Dedicated test suite for Service Providers to validate integrations including sandbox environment and automated validation tools.,
53,Technical Team Suggestions,Multi-Stakeholder Chatbot Extension,Extend AI Chatbot capabilities to Service Providers Issuers and Operations Team (beyond user-facing implementation in Rank 15).,
54,UX,Technical Support Card on Failure,Display technical support card with issue submission capability when a sharing request or transaction fails. Improves support experience.,
55,Product,Rejection Reason Capture,Prompt users for reason when rejecting a document sharing request. Enables governance insights and product improvement.,
56,Technical ,SP Integraion through SDK ,Build an SDK to streamline the onboarding process,
